epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202118,2021-05-04,415,SP,São Bernardo do Campo,3548708,city,58140,6884.68566,151,2335,27,0.0402,844483,True,False
202118,2021-05-03,414,SP,São Bernardo do Campo,3548708,city,57989,6866.8049,101,2308,0,0.0398,844483,False,False
202118,2021-05-02,413,SP,São Bernardo do Campo,3548708,city,57888,6854.84492,206,2308,12,0.0399,844483,False,False
202117,2021-05-01,412,SP,São Bernardo do Campo,3548708,city,57682,6830.45129,0,2296,0,0.0398,844483,False,True
202117,2021-04-30,411,SP,São Bernardo do Campo,3548708,city,57682,6830.45129,839,2296,99,0.0398,844483,False,False
202117,2021-04-29,410,SP,São Bernardo do Campo,3548708,city,56843,6731.10057,0,2197,0,0.0387,844483,False,True
202117,2021-04-28,409,SP,São Bernardo do Campo,3548708,city,56843,6731.10057,0,2197,0,0.0387,844483,False,True
202117,2021-04-27,408,SP,São Bernardo do Campo,3548708,city,56843,6731.10057,0,2197,0,0.0387,844483,False,True
202117,2021-04-26,407,SP,São Bernardo do Campo,3548708,city,56843,6731.10057,69,2197,0,0.0387,844483,False,False
202117,2021-04-25,406,SP,São Bernardo do Campo,3548708,city,56774,6722.92989,262,2197,27,0.0387,844483,False,False
202116,2021-04-24,405,SP,São Bernardo do Campo,3548708,city,56512,6691.90499,0,2170,0,0.0384,844483,False,True
202116,2021-04-23,404,SP,São Bernardo do Campo,3548708,city,56512,6691.90499,817,2170,35,0.0384,844483,False,False
202116,2021-04-22,403,SP,São Bernardo do Campo,3548708,city,55695,6595.15941,0,2135,0,0.0383,844483,False,True
202116,2021-04-21,402,SP,São Bernardo do Campo,3548708,city,55695,6595.15941,0,2135,0,0.0383,844483,False,True
202116,2021-04-20,401,SP,São Bernardo do Campo,3548708,city,55695,6595.15941,0,2135,0,0.0383,844483,False,True
202116,2021-04-19,400,SP,São Bernardo do Campo,3548708,city,55695,6595.15941,53,2135,1,0.0383,844483,False,False
202116,2021-04-18,399,SP,São Bernardo do Campo,3548708,city,55642,6588.88338,390,2134,19,0.0384,844483,False,False
202115,2021-04-17,398,SP,São Bernardo do Campo,3548708,city,55252,6542.70127,0,2115,0,0.0383,844483,False,True
202115,2021-04-16,397,SP,São Bernardo do Campo,3548708,city,55252,6542.70127,1180,2115,114,0.0383,844483,False,False
202115,2021-04-15,396,SP,São Bernardo do Campo,3548708,city,54072,6402.97081,0,2001,0,0.037,844483,False,True
202115,2021-04-14,395,SP,São Bernardo do Campo,3548708,city,54072,6402.97081,0,2001,0,0.037,844483,False,True
202115,2021-04-13,394,SP,São Bernardo do Campo,3548708,city,54072,6402.97081,0,2001,0,0.037,844483,False,True
202115,2021-04-12,393,SP,São Bernardo do Campo,3548708,city,54072,6402.97081,69,2001,1,0.037,844483,False,False
202115,2021-04-11,392,SP,São Bernardo do Campo,3548708,city,54003,6394.80013,148,2000,26,0.037,844483,False,False
202114,2021-04-10,391,SP,São Bernardo do Campo,3548708,city,53855,6377.27462,317,1974,14,0.0367,844483,False,False
202114,2021-04-09,390,SP,São Bernardo do Campo,3548708,city,53538,6339.73686,266,1960,26,0.0366,844483,False,False
202114,2021-04-08,389,SP,São Bernardo do Campo,3548708,city,53272,6308.23829,496,1934,35,0.0363,844483,False,False
202114,2021-04-07,388,SP,São Bernardo do Campo,3548708,city,52776,6249.50413,354,1899,7,0.036,844483,False,False
202114,2021-04-06,387,SP,São Bernardo do Campo,3548708,city,52422,6207.585,306,1892,7,0.0361,844483,False,False
202114,2021-04-05,386,SP,São Bernardo do Campo,3548708,city,52116,6171.34981,68,1885,0,0.0362,844483,False,False
202114,2021-04-04,385,SP,São Bernardo do Campo,3548708,city,52048,6163.29754,98,1885,2,0.0362,844483,False,False
202113,2021-04-03,384,SP,São Bernardo do Campo,3548708,city,51950,6151.69281,103,1883,0,0.0362,844483,False,False
202113,2021-04-02,383,SP,São Bernardo do Campo,3548708,city,51847,6139.496,270,1883,13,0.0363,844483,False,False
202113,2021-04-01,382,SP,São Bernardo do Campo,3548708,city,51577,6107.52377,342,1870,17,0.0363,844483,False,False
202113,2021-03-31,381,SP,São Bernardo do Campo,3548708,city,51235,6067.02562,225,1853,6,0.0362,844483,False,False
202113,2021-03-30,380,SP,São Bernardo do Campo,3548708,city,51010,6040.3821,367,1847,24,0.0362,844483,False,False
202113,2021-03-29,379,SP,São Bernardo do Campo,3548708,city,50643,5996.92356,89,1823,3,0.036,844483,False,False
202113,2021-03-28,378,SP,São Bernardo do Campo,3548708,city,50554,5986.38457,102,1820,1,0.036,844483,False,False
202112,2021-03-27,377,SP,São Bernardo do Campo,3548708,city,50452,5974.30617,332,1819,52,0.0361,844483,False,False
202112,2021-03-26,376,SP,São Bernardo do Campo,3548708,city,50120,5934.99218,353,1767,37,0.0353,844483,False,False
202112,2021-03-25,375,SP,São Bernardo do Campo,3548708,city,49767,5893.19146,236,1730,5,0.0348,844483,False,False
202112,2021-03-24,374,SP,São Bernardo do Campo,3548708,city,49531,5865.24536,251,1725,2,0.0348,844483,False,False
202112,2021-03-23,373,SP,São Bernardo do Campo,3548708,city,49280,5835.52304,366,1723,5,0.035,844483,False,False
202112,2021-03-22,372,SP,São Bernardo do Campo,3548708,city,48914,5792.18291,73,1718,0,0.0351,844483,False,False
202112,2021-03-21,371,SP,São Bernardo do Campo,3548708,city,48841,5783.53857,128,1718,1,0.0352,844483,False,False
202111,2021-03-20,370,SP,São Bernardo do Campo,3548708,city,48713,5768.38136,284,1717,12,0.0352,844483,False,False
202111,2021-03-19,369,SP,São Bernardo do Campo,3548708,city,48429,5734.75132,378,1705,22,0.0352,844483,False,False
202111,2021-03-18,368,SP,São Bernardo do Campo,3548708,city,48051,5689.99021,260,1683,4,0.035,844483,False,False
202111,2021-03-17,367,SP,São Bernardo do Campo,3548708,city,47791,5659.20214,244,1679,26,0.0351,844483,False,False
202111,2021-03-16,366,SP,São Bernardo do Campo,3548708,city,47547,5630.30872,317,1653,20,0.0348,844483,False,False
